CustomerKey,Country,Age,MaritalStatus,Gender,YearlyIncome,TotalChildren,NumberChildrenAtHome,Education,Occupation,HouseOwnerFlag,NumberCarsOwned,class_label
11000,Australia,43,M,M,90000,2,0,Bachelors,Professional,1,0, > 50K
11001,Australia,38,S,M,60000,3,3,Bachelors,Professional,0,1, > 50K
11002,Australia,43,M,M,60000,3,3,Bachelors,Professional,1,1, > 50K
11003,Australia,41,S,F,70000,0,0,Bachelors,Professional,0,1, > 50K
11004,Australia,35,S,F,80000,5,5,Bachelors,Professional,1,4, > 50K
11005,Australia,38,S,M,70000,0,0,Bachelors,Professional,1,1, > 50K
11006,Australia,38,S,F,70000,0,0,Bachelors,Professional,1,1, > 50K
11007,Australia,45,M,M,60000,3,3,Bachelors,Professional,1,2, > 50K
11008,Australia,39,S,F,60000,4,4,Bachelors,Professional,1,3, > 50K
11009,Australia,45,S,M,70000,0,0,Bachelors,Professional,0,1, > 50K
11010,Australia,45,S,F,70000,0,0,Bachelors,Professional,0,1, > 50K
11011,Australia,45,M,M,60000,4,4,Bachelors,Professional,1,4, > 50K
11012,United States,35,M,F,100000,2,0,Bachelors,Management,1,2, > 50K
11013,United States,35,M,M,100000,2,0,Bachelors,Management,1,3, > 50K
11014,United States,41,S,F,100000,3,0,Bachelors,Management,0,3, > 50K
11015,United States,30,S,F,30000,0,0,Partial College,Skilled Manual,0,1, <= 50K 
11016,United States,30,M,M,30000,0,0,Partial College,Skilled Manual,1,1, <= 50K 
11017,Australia,65,S,F,20000,4,0,High School,Skilled Manual,1,2, <= 50K 
11018,Australia,59,S,M,30000,2,0,Partial College,Clerical,1,2, <= 50K 
11019,Canada,31,S,M,40000,0,0,High School,Skilled Manual,0,2, <= 50K 
11020,Canada,30,S,M,40000,0,0,High School,Skilled Manual,0,2, <= 50K 
11021,United States,30,S,F,40000,0,0,Partial College,Skilled Manual,0,1, <= 50K 
11022,United States,30,M,M,40000,0,0,Partial College,Skilled Manual,1,1, <= 50K 
11023,United States,30,M,M,40000,0,0,Partial College,Skilled Manual,1,1, <= 50K 
11024,United States,30,M,M,60000,0,0,Partial College,Skilled Manual,1,2, > 50K
